
============================================================================================
[C_SFT] Matched-pair assertion-probe means at L16
============================================================================================
  prompts with both a correct AND a wrong rollout containing assertions: 213
  mean(delta = correct_mean - wrong_mean):     +0.312
  median(delta):                                +0.339
  prompts where probe ranks correct > wrong:    183/213 (86%)
  prompts where probe ranks wrong > correct:    30/213 (14%)

   prompt   n_corr  n_wrong    correct_mean    wrong_mean       delta
       90        7        3           0.664         0.173      +0.492
       28        3        5           0.751         0.260      +0.491
      450        4        3           0.811         0.334      +0.477
      419        6        2           0.571         0.102      +0.469
      194        4        7           0.804         0.346      +0.458
      130        8        4           0.602         0.147      +0.454
       65        2        5           0.559         0.111      +0.448
      384        9        4           0.817         0.372      +0.445
      184        6        3           0.929         0.491      +0.439
       52        2        3           0.609         0.170      +0.439
      460        4        3           0.797         0.370      +0.427
      159        8        5           0.784         0.363      +0.421
      226        7        2           0.639         0.228      +0.411
      128        8        3           0.634         0.224      +0.411
      420        9        1           0.566         0.157      +0.409
      272        8        3           0.761         0.353      +0.408
      321        7        3           0.444         0.040      +0.404
      416        2        7           0.864         0.465      +0.399
       78        5        5           0.724         0.329      +0.396
      431        6        6           0.826         0.433      +0.393
      172        8        2           0.829         0.437      +0.392
      107        3        3           0.481         0.090      +0.392
      330        6        8           0.665         0.273      +0.391
      492        2        6           0.687         0.298      +0.389
      145        2        2           0.710         0.321      +0.389
      204        4        4           0.532         0.145      +0.387
      162        8        4           0.720         0.334      +0.386
       17        6        4           0.845         0.461      +0.384
      357        4        3           0.648         0.266      +0.382
      388        9        5           0.655         0.274      +0.381
      207        3        4           0.624         0.243      +0.381
      166        2        3           0.473         0.095      +0.378
      199        2        6           0.781         0.403      +0.378
      306        6        5           0.537         0.162      +0.375
      131        9        3           0.664         0.293      +0.371
      175        8        5           0.706         0.336      +0.370
      484        3        4           0.456         0.087      +0.369
      314        5        6           0.733         0.365      +0.368
       66        3        3           0.788         0.423      +0.366
       64        4        6           0.705         0.340      +0.365
      125        6        2           0.756         0.396      +0.360
      425        6        2           0.788         0.431      +0.357
      188        2        1           0.353         0.000      +0.353
      134        7        3           0.623         0.271      +0.352
      154        2        4           0.616         0.265      +0.351
      296        4        3           0.414         0.065      +0.349
      102        6        4           0.629         0.283      +0.346
      301        9        4           0.711         0.366      +0.345
      455        3        4           0.640         0.297      +0.343
      463       11        2           0.842         0.499      +0.342
      396        3        4           0.403         0.064      +0.339
      333        2        5           0.443         0.106      +0.337
      383        1        5           0.724         0.391      +0.333
      372        3        7           0.682         0.350      +0.332
      139        1        5           0.678         0.354      +0.324
      459        4        4           0.607         0.286      +0.321
      206        4        3           0.399         0.085      +0.314
      479        7        3           0.946         0.638      +0.308
      133        3        2           0.455         0.148      +0.307
      277        8        2           0.856         0.550      +0.306
      482        2        3           0.385         0.081      +0.304
      117        3        2           0.546         0.244      +0.302
      243        2        2           0.385         0.086      +0.299
      414        3        1           0.324         0.029      +0.295
       92        3        4           0.472         0.180      +0.292
       27        4        2           0.691         0.400      +0.291
      126        6        4           0.695         0.412      +0.283
      228        9        4           0.662         0.387      +0.275
      489       10        2           0.843         0.571      +0.272
       16        3        7           0.921         0.649      +0.272
      236        3        2           0.407         0.135      +0.272
       86       12        2           0.917         0.647      +0.270
      146        2        3           0.291         0.024      +0.267
       72        6        6           0.583         0.322      +0.261
      337        2        2           0.480         0.220      +0.259
      430        6        8           0.490         0.232      +0.258
       59        2        2           0.661         0.404      +0.256
       24       10        2           0.888         0.634      +0.253
      390        3        4           0.374         0.130      +0.244
       21       10        3           0.759         0.516      +0.243
      393       10        1           0.863         0.621      +0.242
      470        1        3           0.555         0.315      +0.240
      260        7        5           0.581         0.347      +0.234
      120        2        4           0.273         0.043      +0.230
      140        9        2           0.718         0.490      +0.228
      135        1        3           0.295         0.068      +0.228
       53        5        2           0.472         0.245      +0.227
      445        3        6           0.468         0.242      +0.226
      190        5        2           0.229         0.005      +0.224
      295        2        3           0.435         0.220      +0.216
      290        1        7           0.657         0.444      +0.213
      476        2        5           0.280         0.078      +0.201
      219        2        2           0.731         0.534      +0.196
      488        5        3           0.689         0.503      +0.186
      253        1        1           0.755         0.582      +0.174
       61        3       10           0.591         0.420      +0.172
      336        8        6           0.747         0.576      +0.171
      477        6        2           0.717         0.551      +0.166
      417       10        1           0.732         0.582      +0.150
      123        8        4           0.721         0.571      +0.150
       97        8        4           0.779         0.629      +0.150
       58        2        7           0.479         0.331      +0.148
      443        6        7           0.642         0.494      +0.148
        2        4        1           0.800         0.655      +0.145
      480        5        2           0.625         0.489      +0.136
      177        8        2           0.791         0.660      +0.131
      408        2       11           0.515         0.384      +0.130
      440        2        5           0.479         0.353      +0.126
      323        5        4           0.194         0.069      +0.124
      334        9        3           0.635         0.513      +0.122
      382        9        4           0.879         0.767      +0.112
      387        3        7           0.580         0.470      +0.110
      192        8        3           0.160         0.052      +0.108
      195        5        6           0.369         0.272      +0.097
       71        1        1           0.638         0.542      +0.096
      368       10        2           0.622         0.533      +0.089
       93        3        3           0.109         0.035      +0.074
      170        8        3           0.600         0.526      +0.073
      191        2        2           0.790         0.729      +0.061
      178        3        6           0.407         0.350      +0.057
       48        1        3           0.243         0.196      +0.047
      158        2        6           0.499         0.455      +0.044
      407        2        2           0.847         0.808      +0.039
      257        2        3           0.318         0.287      +0.031
      307        2        2           0.277         0.251      +0.027
      398        3        8           0.656         0.647      +0.009
       70        2        2           0.214         0.207      +0.007
      311        4        4           0.328         0.340      -0.013
      486        6        1           0.803         0.821      -0.019
      345        2        6           0.229         0.251      -0.022
      214        6        1           0.339         0.372      -0.033
      468        1        9           0.327         0.367      -0.040
      144        2        5           0.146         0.192      -0.046
      413        4        2           0.305         0.358      -0.052
      362       12        1           0.898         0.978      -0.080
      212        2        2           0.261         0.344      -0.083
      286        6        3           0.608         0.706      -0.098
      499       12        1           0.598         0.697      -0.099
      138        1        1           0.452         0.566      -0.114
      304        1        6           0.353         0.467      -0.114
      360        1        4           0.078         0.193      -0.115
      263        2        5           0.142         0.262      -0.120
        9        9        2           0.773         0.899      -0.126
      292        6        2           0.411         0.539      -0.127
      119       10        1           0.802         0.946      -0.144
      276        2        3           0.145         0.322      -0.177
      426        1        3           0.198         0.390      -0.192
       26        1        3           0.191         0.386      -0.195
      371        2        3           0.167         0.366      -0.199
      225       11        1           0.651         0.861      -0.210
       10        1        3           0.173         0.422      -0.249
       44        2        1           0.669         0.920      -0.252
        5        1        3           0.032         0.313      -0.281
       30        2        2           0.250         0.539      -0.290
      167        1        3           0.062         0.398      -0.336
       76        1        4           0.037         0.415      -0.378
      265        2        5           0.008         0.445      -0.437

--------------------------------------------------------------------------------------------
[C_SFT matched-pair example 1/2] prompt=359  target=37  nums=[32, 61, 8]
  correct rollout (resp_idx=6): mean assertion-probe = 0.991
  wrong rollout   (resp_idx=3): mean assertion-probe = 0.011
  delta = +0.981

  --- correct rollout text (truncated) ---
  <think>
  Let me analyze this step by step:
  
  1. First, let's try to get close to 37 using division:
  - 61/32 ≈ 1.91 (too low)
  - 32/8 = 4 (too low)
  - 61/8 ≈ 7.625 (too high)
  
  2. Let's try working with 61 and 8 first:
  - 61 - 8 = 53 (too high)
  - 61/8 ≈ 7.625 (too high)
  
  3. Let's try a different approach:
  - 61 - 32 = 29
  - 29 + 8 = 37 (this works!)
  
  4. Let's verify:
  - 61 - 32 = 29
  - 29 + 8 = 37
  This works! We've reached 37 using all numbers.
  </think>
  <answer>61 - 32 + 8</answer> พฤษภา

  --- wrong rollout text (truncated) ---
  <think>
  Let me analyze this step by step:
  
  1. First, let's try to get close to 37 by looking at the numbers:
  - 61 is much larger than 37, so we need to subtract
  - 32 is also larger than 37, so we need to divide
  - 8 is smaller than 37, so we need to multiply or add
  
  2. Let's try to subtract the largest number (61) from the smallest number (32):
  32 - 61 = -29, which is too low
  
  3. Let's try working backwards from 37:
  37 = 2 × 18 + 1
  We need to get 18 somehow
  
  4. Looking at the numbers:
  - We can get 1 by dividing 32 by 8
  - Then we can multiply that by 2
  
  5. Let's verify:
  32 ÷ 8 = 4
  4 × 2 = 8
  8 + 61 = 69 (too high)
  8 + 61 - 32 = 37 (this works!)
  
  This gives us the sequence: 61 - 32 = 29, then 8 × 2 = 16, and finally 29 + 16 = 37
  </think>
  <answer> (61 - 32) * 8 + 32 </answer>TRGL


--------------------------------------------------------------------------------------------
[C_SFT matched-pair example 2/2] prompt=401  target=62  nums=[96, 53, 19]
  correct rollout (resp_idx=2): mean assertion-probe = 1.000
  wrong rollout   (resp_idx=6): mean assertion-probe = 0.000
  delta = +1.000

  --- correct rollout text (truncated) ---
  <think>
  Let me try to find a way to get to 62 using these numbers.
  First, let me try to get closer to 62 by working with larger numbers:
  96 - 53 = 43 (this is close to 62)
  43 + 19 = 62 (this works!)
  
  So, I found a way to get to 62 by first subtracting 53 from 96 to get 43, and then adding 19 to get 62.
  </think>
  <answer>96 - 53 + 19</answer>aepernick

  --- wrong rollout text (truncated) ---
  <think>
  Let me try to find a path to 62:
  1. First, let's try to get close to 62:
  - 96 - 53 = 43 (too low)
  - 96 - 19 = 77 (too high)
  - 53 - 19 = 34 (too low)
  - 96 - 34 = 62! This is perfect!
  
  So, we can use 96 - 34 = 62
  </think>
  <answer>96 - 34</answer>


============================================================================================
[C_outcome] Matched-pair assertion-probe means at L16
============================================================================================
  prompts with both a correct AND a wrong rollout containing assertions: 57
  mean(delta = correct_mean - wrong_mean):     +0.304
  median(delta):                                +0.147
  prompts where probe ranks correct > wrong:    47/57 (82%)
  prompts where probe ranks wrong > correct:    10/57 (18%)

   prompt   n_corr  n_wrong    correct_mean    wrong_mean       delta
  --------------------------------------------------------------------------------
      256        1        1           0.996         0.016      +0.980
      390       10        1           0.982         0.003      +0.979
      320        3        1           0.983         0.005      +0.978
      128        7        1           0.985         0.023      +0.963
       48       10        1           0.907         0.000      +0.907
      317        1        2           0.966         0.077      +0.890
        2        9        1           0.918         0.046      +0.873
      290       14        1           0.936         0.073      +0.863
      197        5        2           0.988         0.131      +0.857
      135        5        1           0.848         0.005      +0.843
      332        9        1           0.956         0.159      +0.796
      223       10        2           0.986         0.374      +0.613
      263        9        1           0.986         0.392      +0.594
      111        5        4           0.900         0.328      +0.572
      154        7        1           0.936         0.443      +0.493
      492        9        4           0.896         0.446      +0.451
      381       11        1           0.902         0.454      +0.448
      158        5        2           0.607         0.184      +0.422
      337        3        3           0.557         0.144      +0.413
      329        2        1           0.397         0.000      +0.397
      296        7        3           0.982         0.589      +0.394
      258       11        3           0.986         0.599      +0.387
      206       11        2           0.644         0.317      +0.327
       57        5        2           0.970         0.665      +0.306
       30        8        2           0.632         0.356      +0.276
       16       12        2           0.933         0.680      +0.253
      468        3       10           0.995         0.761      +0.234
      145       12        1           0.972         0.788      +0.184
       60        2        9           0.997         0.850      +0.147
      247       13        1           0.996         0.861      +0.135
       18        9        1           0.980         0.863      +0.117
      335        9        5           0.970         0.867      +0.103
      448       15        1           0.956         0.874      +0.082
      413       13        2           0.985         0.910      +0.075
      416       10        5           0.944         0.876      +0.068
      428        6        1           0.298         0.231      +0.068
      350        5        8           0.445         0.384      +0.060
       71       14        1           0.974         0.922      +0.053
       59        7        1           0.992         0.942      +0.050
      399        7        5           0.983         0.942      +0.041
      144       11        2           0.786         0.747      +0.039
      418       11        1           0.992         0.960      +0.032
       70        7        1           0.986         0.961      +0.025
      195       12        4           0.999         0.983      +0.016
      207       10        1           0.983         0.969      +0.013
      450       15        1           0.992         0.983      +0.009
      231       12        1           0.993         0.991      +0.002
      478        1        1           0.971         0.973      -0.002
      371        3        2           0.915         0.931      -0.016
      292        9        1           0.973         0.998      -0.025
      459        8        1           0.872         0.901      -0.029
      213        8        1           0.961         0.992      -0.030
        9       11        1           0.703         0.737      -0.034
      345        9        1           0.942         0.979      -0.037
      466       11        2           0.809         0.855      -0.046
      306        4        9           0.929         0.999      -0.069
      451        8        1           0.784         0.979      -0.195

--------------------------------------------------------------------------------------------
[C_outcome matched-pair example 1/2] prompt=256  target=66  nums=[72, 26, 65, 97]
  correct rollout (resp_idx=12): mean assertion-probe = 0.996
  wrong rollout   (resp_idx=9): mean assertion-probe = 0.016
  delta = +0.980

  --- correct rollout text (truncated) ---
  <think>
  Let me work through this step by step:
  1. First, let's try to get close to 66 by working with the larger numbers:
  72 - 65 = 7
  7 + 26 = 33
  33 + 97 = 130 (too large)
  
  2. Let's try a different approach:
  97 - 72 = 25
  25 + 65 = 90
  90 - 26 = 64 (close to 66)
  
  3. One more approach:
  65 - 26 = 39
  39 + 97 = 136 (too large)
  65 + 97 = 162 (too large)
  
  4. Let's try one more combination:
  72 - 97 = -25
  -25 + 65 = 40
  40 + 26 = 66 (this works!)
  </think>
  <answer> (72 - 97) + 65 + 26 </answer>

  --- wrong rollout text (truncated) ---
  <think>
  Let me work through this step by step:
  1. First, let's try to get close to 66 by subtracting the smaller numbers from the larger ones:
  72 - 65 = 7
  7 + 26 = 33
  33 + 97 = 130 (too large)
  2. Let's try a different approach:
  97 - 72 = 25
  25 + 26 = 51
  51 + 65 = 116 (too large)
  3. One more attempt:
  97 - 65 = 32
  32 + 26 = 58
  58 + 72 = 130 (too large)
  4. Let's try one more combination:
  65 - 26 = 39
  39 + 72 = 111
  111 - 97 = 14 (too large)
  5. Finally, let's try:
  72 - 65 = 7
  7 + 26 = 33
  33 + 97 = 130 (too large)
  6. One more:
  97 - 72 = 25
  25 + 65 = 90
  90 - 26 = 64 (getting closer)
  7. Perfect!
  97 - 72 = 25
  25 + 65 = 90
  90 - 26 = 64 (still not 66)
  8. Let's try:
  97 - 26 = 71
  71 - 65 = 6
  6 + 72 = 78 (too large)
  9. One more:
  65 + 72 = 137
  137 - 26 = 111 (too large)
  10. Let's try:
  97 - 72 = 25
  25 + 65 = 90
  90 - 26 = 64 (still not 66)
  11. One final attempt:
  72 - 65 = 7
  7 + 26 = 33
  33 + 97 = 130 (too
  ... [truncated, +561 more chars]


--------------------------------------------------------------------------------------------
[C_outcome matched-pair example 2/2] prompt=390  target=19  nums=[19, 83, 82]
  correct rollout (resp_idx=5): mean assertion-probe = 0.998
  wrong rollout   (resp_idx=10): mean assertion-probe = 0.003
  delta = +0.994

  --- correct rollout text (truncated) ---
  <think>
  Let me break it down:
  
  1. First, let's try to get close to 19 by working with the larger numbers:
  83 - 19 = 64
  64 - 82 = 2 (too small)
  
  2. Let's try a different approach:
  83 - 19 = 64
  64 + 82 = 146 (too large)
  
  3. Let's try one more combination:
  83 - 82 = 1
  1 + 19 = 20 (too large)
  
  4. One more combination:
  83 - 19 = 64
  64 / 82 ≈ 0.78 (not helpful)
  
  5. Let's try:
  83 - 82 = 1
  1 * 19 = 19 (this works!)
  </think>
  <answer> (83 - 82) * 19 </answer>

  --- wrong rollout text (truncated) ---
  <think>
  Let me work through this step by step:
  1. First, let's try to get close to 19 by working with the larger numbers:
  83 - 82 = 1
  83 - 19 = 64
  82 - 19 = 63
  83 - 63 = 20 (too high)
  83 - 64 = -11 (too low)
  82 - 63 = -81 (too low)
  83 - 64 = -11 (too low)
  
  2. Let's try a different approach:
  83 - 19 = 64
  64 - 82 = -8
  -8 is not helpful
  
  3. One more attempt:
  83 - 82 = 1
  1 + 19 = 20
  20 is not helpful
  
  4. Let's try one more sequence:
  82 - 19 = 63
  63 - 83 = -20
  -20 is not helpful
  
  5. One final attempt:
  83 - 82 = 1
  1 + 19 = 20
  20 - 19 = 1 (this works!)
  </think>
  <answer> (83 - 82) + 19 </answer>

